Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
19953,2,2,2,77,6,12.833333
19954,2,2,1,46,3,15.333333
19955,1,1,1,18,2,9.000000
19956,1,0,0,90,4,22.500000
19957,2,1,1,53,4,13.250000
19958,2,2,2,92,6,15.333333
19959,0,0,0,29,1,29.000000
19960,2,2,2,67,4,16.750000
19961,1,1,1,12,3,4.000000
19962,2,0,0,57,3,19.000000
19963,2,2,2,49,3,16.333333
19964,1,2,2,41,1,41.000000
19965,2,2,2,67,4,16.750000
19966,2,2,2,225,12,18.750000
19967,2,2,2,89,7,12.714286
19968,0,0,0,15,1,15.000000
19969,1,0,0,21,2,10.500000
19970,2,1,1,133,10,13.300000
19971,2,2,2,46,4,11.500000
19972,0,0,0,35,5,7.000000
19973,2,2,2,128,7,18.285714
19974,1,1,1,28,3,9.333333
19975,1,0,0,82,6,13.666667
19976,2,0,0,67,6,11.166667
19977,2,2,2,93,6,15.500000
19978,2,2,2,79,4,19.750000
19979,2,1,1,67,4,16.750000
19980,1,0,2,29,2,14.500000
19981,0,1,0,59,4,14.750000
19982,1,1,1,27,3,9.000000
19983,2,0,0,63,6,10.500000
19984,2,2,2,82,5,16.400000
19985,0,0,0,10,2,5.000000
19986,0,0,0,4,1,4.000000
19987,0,0,0,22,2,11.000000
19988,2,2,2,50,4,12.500000
19989,1,0,0,74,5,14.800000
19990,0,0,0,20,2,10.000000
19991,2,2,2,23,3,7.666667
19992,2,2,2,107,7,15.285714
19993,2,0,2,132,9,14.666667
19994,2,2,2,46,5,9.200000
19995,1,2,2,54,4,13.500000
19996,0,0,0,18,2,9.000000
19997,1,0,0,65,4,16.250000
19998,2,2,2,54,3,18.000000
19999,2,2,2,66,5,13.200000
20000,2,2,2,38,4,9.500000
20001,1,1,2,73,6,12.166667
20002,2,2,2,61,6,10.166667
20003,0,0,0,44,3,14.666667
20004,2,0,0,130,6,21.666667
20005,2,2,2,52,4,13.000000
20006,0,0,0,56,3,18.666667
20007,1,1,1,39,2,19.500000
20008,2,2,2,90,5,18.000000
20009,2,2,1,73,5,14.600000
20010,2,2,2,25,2,12.500000
20011,2,2,2,75,5,15.000000
20012,1,2,2,62,3,20.666667
20013,1,0,0,40,3,13.333333
20014,2,1,2,41,3,13.666667
20015,2,2,2,100,8,12.500000
20016,2,2,2,48,4,12.000000
20017,0,0,0,5,2,2.500000
20018,0,0,0,8,1,8.000000
20019,2,2,2,107,6,17.833333
20020,2,1,2,76,4,19.000000
20021,1,2,2,34,4,8.500000
20022,0,0,0,58,4,14.500000
20023,2,1,1,55,3,18.333333
20024,2,2,2,102,6,17.000000
20025,1,2,2,34,3,11.333333
20026,0,2,2,59,4,14.750000
20027,2,1,1,48,4,12.000000
20028,2,1,1,52,4,13.000000
20029,2,2,2,62,3,20.666667
20030,2,2,1,96,5,19.200000
20031,2,1,1,35,4,8.750000
20032,2,2,2,31,2,15.500000
20033,1,1,1,30,3,10.000000
20034,0,0,0,81,4,20.250000
20035,1,1,1,28,2,14.000000
20036,1,2,1,43,3,14.333333
20037,1,1,1,82,4,20.500000
20038,1,2,1,45,3,15.000000
20039,2,2,2,90,4,22.500000
20040,1,2,2,17,2,8.500000
20041,1,0,1,27,2,13.500000
20042,1,1,1,37,4,9.250000
20043,2,2,2,44,3,14.666667
20044,2,2,2,68,4,17.000000
20045,2,2,2,43,2,21.500000
20046,0,0,0,27,2,13.500000
20047,2,1,2,62,5,12.400000
20048,2,2,1,65,4,16.250000
20049,2,1,1,53,4,13.250000
20050,2,0,0,16,1,16.000000
20051,2,2,2,52,5,10.400000
20052,2,1,0,55,4,13.750000
20053,1,1,1,33,3,11.000000
20054,2,2,2,82,4,20.500000
20055,1,1,1,20,2,10.000000
20056,0,0,0,6,2,3.000000
20057,1,0,0,21,2,10.500000
20058,0,0,0,35,3,11.666667
20059,2,1,1,55,5,11.000000
20060,2,2,1,51,3,17.000000
20061,1,0,1,54,5,10.800000
20062,1,1,1,35,4,8.750000
20063,2,2,2,65,6,10.833333
20064,0,0,0,44,2,22.000000
20065,0,0,0,40,2,20.000000
20066,1,1,1,48,3,16.000000
20067,2,2,2,51,4,12.750000
20068,0,0,0,27,2,13.500000
20069,1,0,1,20,1,20.000000
20070,2,0,0,71,5,14.200000
20071,2,2,2,63,4,15.750000
20072,2,2,2,99,5,19.800000
20073,2,2,2,44,3,14.666667
20074,1,0,0,32,2,16.000000
20075,2,2,2,42,3,14.000000
20076,0,2,2,45,4,11.250000
20077,2,1,1,9,2,4.500000
20078,2,2,2,161,8,20.125000
20079,0,0,0,55,3,18.333333
20080,1,2,2,44,4,11.000000
20081,2,1,2,138,7,19.714286
20082,2,2,2,60,5,12.000000
20083,2,1,2,29,3,9.666667
20084,0,0,0,18,2,9.000000
20085,2,1,1,109,6,18.166667
20086,2,2,1,18,2,9.000000
20087,2,0,1,81,5,16.200000
20088,2,2,2,59,5,11.800000
20089,1,2,2,36,4,9.000000
20090,1,0,0,51,3,17.000000
20091,1,1,0,52,3,17.333333
20092,1,1,1,35,2,17.500000
20093,2,2,2,59,5,11.800000
20094,2,2,2,91,4,22.750000
20095,2,2,0,20,2,10.000000
20096,1,0,0,63,4,15.750000
20097,1,1,1,38,3,12.666667
20098,1,2,2,125,5,25.000000
20099,1,1,1,33,3,11.000000
20100,2,2,2,70,5,14.000000
20101,2,2,2,85,5,17.000000
20102,1,2,2,129,11,11.727273
20103,2,2,2,49,3,16.333333
20104,2,1,1,32,3,10.666667
20105,0,0,0,15,2,7.500000
20106,1,1,1,95,8,11.875000
20107,1,1,1,36,3,12.000000
20108,2,0,1,32,4,8.000000
20109,2,2,2,71,7,10.142857
20110,2,2,2,124,5,24.800000
20111,2,0,1,92,6,15.333333
20112,2,2,2,143,8,17.875000
20113,1,1,0,38,3,12.666667
20114,2,1,1,40,3,13.333333
20115,2,2,2,109,7,15.571429
20116,2,2,1,44,4,11.000000
20117,2,1,1,42,4,10.500000
20118,2,2,2,147,6,24.500000
20119,1,1,1,15,2,7.500000
20120,1,0,0,17,2,8.500000
20121,1,1,1,29,3,9.666667
20122,2,1,1,47,3,15.666667
20123,2,1,0,180,13,13.846154
20124,2,2,2,50,3,16.666667
20125,2,2,2,140,8,17.500000
20126,2,2,2,59,3,19.666667
20127,1,0,0,41,3,13.666667
20128,2,0,0,58,4,14.500000
20129,1,1,1,27,2,13.500000
20130,2,2,2,84,5,16.800000
20131,0,0,0,34,2,17.000000
20132,0,0,0,25,3,8.333333
20133,1,2,2,74,4,18.500000
20134,1,1,1,23,2,11.500000
20135,2,1,2,84,5,16.800000
20136,2,2,2,117,9,13.000000
20137,1,1,1,37,4,9.250000
20138,2,1,1,88,7,12.571429
20139,2,2,2,93,5,18.600000
20140,1,0,0,47,3,15.666667
20141,2,2,2,52,3,17.333333
20142,2,1,2,31,3,10.333333
20143,1,0,1,83,3,27.666667
20144,2,2,2,52,5,10.400000
20145,2,2,2,136,6,22.666667
20146,2,0,0,44,4,11.000000
20147,2,2,2,18,3,6.000000
20148,2,2,2,146,7,20.857143
20149,2,2,2,75,4,18.750000
20150,1,2,2,59,3,19.666667
20151,2,2,2,63,4,15.750000
20152,2,2,2,26,2,13.000000
20153,2,1,2,101,6,16.833333
20154,0,0,0,21,3,7.000000
20155,2,1,1,57,5,11.400000
20156,2,2,2,157,10,15.700000
20157,2,0,0,84,4,21.000000
20158,0,0,0,102,5,20.400000
20159,0,1,1,32,3,10.666667
20160,1,1,1,30,2,15.000000
20161,2,2,2,24,3,8.000000
20162,0,0,0,60,3,20.000000
20163,2,2,2,122,8,15.250000
20164,2,2,2,133,5,26.600000
20165,2,2,2,54,5,10.800000
20166,1,0,0,53,4,13.250000
20167,0,2,1,36,2,18.000000
20168,1,2,2,37,3,12.333333
20169,0,0,1,33,3,11.000000
20170,1,1,1,29,3,9.666667
20171,1,0,0,49,3,16.333333
20172,2,2,2,53,3,17.666667
20173,2,2,2,129,7,18.428571
20174,1,0,0,54,6,9.000000
20175,2,2,2,94,7,13.428571
20176,2,2,2,158,9,17.555556
20177,2,0,0,14,2,7.000000
20178,0,0,1,31,2,15.500000
20179,2,1,1,41,3,13.666667
20180,0,0,0,16,1,16.000000
20181,2,2,2,79,5,15.800000
