Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
1,1,1,1,57,2,28.500000
2,1,1,1,49,2,24.500000
3,1,1,1,36,3,12.000000
4,0,0,0,18,2,9.000000
5,2,2,2,32,2,16.000000
6,0,1,0,25,2,12.500000
7,1,1,0,83,4,20.750000
8,3,3,3,69,5,13.800000
9,4,3,3,63,5,12.600000
10,2,2,2,65,3,21.666667
11,0,0,0,13,1,13.000000
12,5,3,3,44,4,11.000000
13,2,2,2,50,4,12.500000
14,0,2,2,8,1,8.000000
15,0,0,0,55,3,18.333333
16,0,0,0,7,1,7.000000
17,5,3,3,54,3,18.000000
18,0,0,0,88,5,17.600000
19,0,0,0,47,4,11.750000
20,3,3,3,84,3,28.000000
21,0,0,0,49,4,12.250000
22,2,2,2,45,2,22.500000
23,0,0,0,30,3,10.000000
24,3,3,3,56,4,14.000000
25,1,1,1,15,2,7.500000
26,2,2,2,67,2,33.500000
27,2,2,2,28,4,7.000000
28,0,0,0,73,15,4.866667
29,1,3,3,26,2,13.000000
30,1,2,0,46,4,11.500000
31,2,2,2,67,4,16.750000
32,0,0,0,15,2,7.500000
33,3,3,3,26,1,26.000000
34,3,3,3,42,4,10.500000
35,1,1,1,38,3,12.666667
36,2,2,2,55,5,11.000000
37,3,2,2,58,4,14.500000
38,1,0,0,38,2,19.000000
39,1,1,1,41,3,13.666667
40,2,2,2,61,4,15.250000
41,2,1,1,35,1,35.000000
42,3,3,3,55,4,13.750000
43,2,3,3,50,2,25.000000
44,3,3,3,32,3,10.666667
45,0,2,2,37,2,18.500000
46,0,0,0,37,2,18.500000
47,2,2,2,61,4,15.250000
48,0,0,0,43,3,14.333333
49,0,0,0,23,2,11.500000
50,2,3,2,35,4,8.750000
51,1,1,1,39,3,13.000000
52,0,0,0,44,3,14.666667
53,2,2,2,47,5,9.400000
54,2,2,2,41,2,20.500000
55,2,2,2,74,6,12.333333
56,0,1,0,44,2,22.000000
57,0,0,0,39,2,19.500000
58,2,2,2,79,4,19.750000
59,4,3,3,67,5,13.400000
60,3,3,3,65,5,13.000000
61,1,1,1,40,3,13.333333
62,4,3,3,52,4,13.000000
63,1,1,1,36,3,12.000000
64,0,0,0,42,3,14.000000
65,1,0,0,46,4,11.500000
66,0,0,0,46,3,15.333333
67,1,1,1,53,4,13.250000
68,2,2,2,56,6,9.333333
69,3,3,3,35,8,4.375000
70,2,1,1,67,5,13.400000
71,1,1,1,39,4,9.750000
72,2,2,2,59,4,14.750000
73,0,0,0,41,3,13.666667
74,1,1,1,32,2,16.000000
75,1,1,1,47,4,11.750000
76,4,3,3,78,6,13.000000
77,3,3,3,40,3,13.333333
78,0,0,0,60,2,30.000000
79,1,1,1,55,4,13.750000
80,1,1,1,55,3,18.333333
81,3,3,3,54,4,13.500000
82,2,2,2,87,4,21.750000
83,3,2,2,74,2,37.000000
84,0,0,0,30,2,15.000000
85,1,1,1,33,4,8.250000
86,4,3,3,73,5,14.600000
87,1,0,0,28,2,14.000000
88,1,1,1,54,5,10.800000
89,0,0,0,45,7,6.428571
90,2,2,2,88,4,22.000000
