Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
13959,0,0,0,34,4,8.500000
13960,0,0,0,3,1,3.000000
13961,0,0,0,52,5,10.400000
13962,0,0,0,28,2,14.000000
13963,0,0,0,53,4,13.250000
13964,0,0,0,26,4,6.500000
13965,0,0,0,12,1,12.000000
13966,0,0,0,50,5,10.000000
13967,0,0,0,2,1,2.000000
13968,0,0,0,52,5,10.400000
13969,0,0,0,46,4,11.500000
13970,0,0,0,5,2,2.500000
13971,2,1,1,34,4,8.500000
13972,0,0,0,11,3,3.666667
13973,0,0,0,20,1,20.000000
13974,0,0,0,22,3,7.333333
13975,0,0,0,12,1,12.000000
13976,0,0,0,23,1,23.000000
13977,0,0,0,6,2,3.000000
13978,0,0,0,72,5,14.400000
13979,0,0,0,2,1,2.000000
13980,0,0,0,27,2,13.500000
13981,1,0,0,18,1,18.000000
13982,0,0,0,34,2,17.000000
13983,0,0,0,6,1,6.000000
13984,0,0,0,14,2,7.000000
13985,0,0,0,16,2,8.000000
13986,1,0,0,64,5,12.800000
13987,0,0,0,1,1,1.000000
13988,0,0,0,50,4,12.500000
13989,0,0,0,49,3,16.333333
13990,0,0,0,25,2,12.500000
13991,0,0,0,7,1,7.000000
13992,0,0,0,2,1,2.000000
13993,0,0,0,1,1,1.000000
13994,1,1,1,32,4,8.000000
13995,0,0,0,6,2,3.000000
13996,0,0,0,45,5,9.000000
13997,0,0,0,34,2,17.000000
13998,0,0,0,42,4,10.500000
13999,0,0,0,32,3,10.666667
14000,0,0,0,40,4,10.000000
14001,2,3,3,61,5,12.200000
14002,0,0,0,9,2,4.500000
14003,0,0,0,28,3,9.333333
14004,1,2,2,34,3,11.333333
14005,0,0,0,16,2,8.000000
14006,1,1,1,26,2,13.000000
14007,0,0,0,15,4,3.750000
14008,0,0,0,38,4,9.500000
14009,0,0,0,16,3,5.333333
14010,0,0,0,8,4,2.000000
14011,0,0,0,40,5,8.000000
14012,0,0,0,3,1,3.000000
14013,0,0,0,27,3,9.000000
14014,2,3,3,89,7,12.714286
14015,0,0,0,11,2,5.500000
14016,0,0,0,7,2,3.500000
14017,0,0,0,3,1,3.000000
14018,0,0,0,20,2,10.000000
14019,0,0,0,24,2,12.000000
14020,0,0,0,46,4,11.500000
14021,0,0,0,34,4,8.500000
14022,0,0,0,16,1,16.000000
14023,2,2,2,34,3,11.333333
14024,0,0,0,32,3,10.666667
14025,1,1,1,78,5,15.600000
14026,0,0,0,8,4,2.000000
14027,0,0,0,18,2,9.000000
14028,0,0,0,25,3,8.333333
14029,0,0,0,22,3,7.333333
14030,0,0,0,24,2,12.000000
14031,0,0,0,8,4,2.000000
14032,0,0,0,28,4,7.000000
14033,0,0,0,30,3,10.000000
14034,0,0,0,24,2,12.000000
14035,0,0,0,5,1,5.000000
14036,0,0,0,9,2,4.500000
14037,0,0,0,22,2,11.000000
14038,0,0,0,38,3,12.666667
14039,0,0,0,22,1,22.000000
14040,0,0,0,30,2,15.000000
14041,0,0,0,35,3,11.666667
14042,1,1,1,52,4,13.000000
14043,0,0,0,14,2,7.000000
14044,0,0,0,16,2,8.000000
