Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
4918,0,1,1,55,3,18.333333
4919,2,1,2,58,3,19.333333
4920,1,1,1,35,4,8.750000
4921,1,2,1,34,3,11.333333
4922,0,0,0,29,3,9.666667
4923,0,0,0,19,2,9.500000
4924,2,2,1,75,7,10.714286
4925,1,1,1,63,6,10.500000
4926,2,1,2,44,5,8.800000
4927,0,1,0,36,3,12.000000
4928,0,2,1,59,4,14.750000
4929,2,1,1,55,4,13.750000
4930,0,1,0,70,4,17.500000
4931,0,0,0,55,3,18.333333
4932,1,1,1,48,5,9.600000
4933,2,2,2,56,6,9.333333
4934,1,1,2,54,5,10.800000
4935,0,1,0,94,7,13.428571
4936,2,1,1,52,3,17.333333
4937,2,2,2,72,7,10.285714
4938,1,1,1,57,4,14.250000
4939,0,1,1,46,5,9.200000
4940,2,1,1,65,5,13.000000
4941,1,2,2,55,5,11.000000
4942,0,0,0,63,3,21.000000
4943,0,1,2,55,4,13.750000
4944,2,2,1,55,3,18.333333
4945,2,1,1,39,3,13.000000
4946,0,2,1,50,3,16.666667
4947,1,1,1,39,3,13.000000
4948,2,1,1,45,3,15.000000
4949,0,1,1,44,6,7.333333
4950,0,0,0,59,5,11.800000
4951,0,0,1,61,5,12.200000
4952,1,1,1,59,5,11.800000
4953,0,0,0,27,3,9.000000
4954,0,0,0,15,2,7.500000
4955,1,1,1,43,3,14.333333
4956,1,1,1,44,4,11.000000
4957,0,1,1,76,6,12.666667
4958,0,0,0,35,2,17.500000
4959,0,1,0,25,2,12.500000
4960,1,1,1,57,5,11.400000
4961,2,2,2,72,5,14.400000
4962,1,1,1,40,3,13.333333
4963,0,0,0,47,3,15.666667
4964,2,1,1,56,3,18.666667
4965,0,0,1,63,3,21.000000
4966,2,1,1,39,3,13.000000
4967,1,1,0,51,3,17.000000
4968,0,0,0,27,2,13.500000
4969,1,1,1,52,2,26.000000
4970,2,1,1,52,5,10.400000
4971,0,0,0,19,2,9.500000
4972,2,0,0,43,3,14.333333
4973,1,1,1,18,2,9.000000
4974,1,2,1,60,5,12.000000
4975,2,1,2,60,5,12.000000
4976,0,1,0,46,2,23.000000
4977,1,1,0,49,3,16.333333
4978,2,1,1,33,3,11.000000
4979,2,1,1,47,4,11.750000
4980,2,2,1,54,4,13.500000
4981,2,1,2,68,5,13.600000
4982,2,1,1,57,6,9.500000
4983,1,1,1,57,4,14.250000
4984,2,2,2,73,5,14.600000
4985,2,0,0,46,5,9.200000
4986,1,1,1,55,4,13.750000
4987,0,0,1,30,3,10.000000
4988,2,1,2,48,3,16.000000
4989,1,0,1,55,5,11.000000
4990,2,1,2,62,3,20.666667
4991,2,2,2,58,4,14.500000
4992,2,1,1,37,4,9.250000
4993,1,0,0,53,3,17.666667
4994,1,1,1,39,4,9.750000
4995,0,1,1,57,3,19.000000
4996,1,0,0,27,3,9.000000
4997,1,0,0,45,3,15.000000
4998,2,2,2,59,5,11.800000
4999,2,2,1,55,5,11.000000
5000,0,0,0,44,2,22.000000
5001,2,1,1,50,4,12.500000
5002,2,2,2,62,4,15.500000
5003,0,1,1,38,3,12.666667
5004,1,1,1,57,4,14.250000
5005,1,2,1,63,5,12.600000
5006,2,1,1,69,5,13.800000
5007,0,0,1,61,5,12.200000
5008,0,0,0,69,4,17.250000
5009,2,1,1,64,6,10.666667
5010,0,1,1,45,3,15.000000
5011,2,0,1,29,2,14.500000
5012,1,0,0,33,2,16.500000
5013,2,1,1,54,5,10.800000
5014,0,0,0,51,3,17.000000
5015,2,2,1,66,4,16.500000
5016,1,1,1,62,7,8.857143
5017,0,0,0,34,3,11.333333
5018,1,0,0,46,3,15.333333
5019,0,0,0,54,4,13.500000
5020,2,1,1,45,4,11.250000
5021,2,1,1,37,3,12.333333
5022,0,0,1,49,4,12.250000
5023,1,1,1,51,4,12.750000
5024,2,1,1,61,4,15.250000
5025,0,0,0,36,4,9.000000
5026,0,1,1,42,4,10.500000
5027,0,0,0,44,3,14.666667
5028,1,1,1,50,4,12.500000
5029,0,0,0,53,5,10.600000
5030,0,1,1,54,4,13.500000
5031,2,1,1,70,4,17.500000
5032,0,2,2,82,7,11.714286
5033,1,1,1,27,2,13.500000
5034,1,1,1,20,2,10.000000
5035,2,2,2,75,6,12.500000
5036,1,0,0,18,2,9.000000
5037,2,1,1,50,4,12.500000
5038,0,0,0,12,2,6.000000
5039,1,1,1,59,3,19.666667
5040,0,1,2,87,8,10.875000
5041,1,1,1,42,3,14.000000
5042,0,0,1,45,6,7.500000
5043,0,1,1,3,1,3.000000
5044,2,2,1,61,4,15.250000
5045,2,2,2,51,4,12.750000
5046,0,1,1,43,3,14.333333
5047,0,1,1,65,3,21.666667
5048,2,1,1,57,6,9.500000
5049,2,2,1,51,3,17.000000
5050,2,2,2,76,4,19.000000
5051,2,2,2,74,4,18.500000
5052,1,2,1,51,4,12.750000
5053,1,0,0,38,3,12.666667
5054,2,1,1,38,5,7.600000
5055,0,2,1,50,2,25.000000
5056,2,1,2,68,5,13.600000
5057,2,2,1,52,5,10.400000
