Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
10967,1,1,1,45,5,9.000000
10968,0,0,0,31,4,7.750000
10969,0,0,0,10,2,5.000000
10970,0,0,0,46,4,11.500000
10971,1,2,2,51,5,10.200000
10972,1,1,1,7,1,7.000000
10973,0,0,0,53,2,26.500000
10974,0,0,0,24,1,24.000000
10975,1,0,1,61,6,10.166667
10976,1,1,1,17,1,17.000000
10977,0,0,0,44,5,8.800000
10978,1,1,1,16,3,5.333333
10979,1,1,1,32,5,6.400000
10980,0,0,0,4,1,4.000000
10981,3,3,3,56,6,9.333333
10982,1,1,1,43,6,7.166667
10983,0,0,0,4,1,4.000000
10984,0,0,0,12,2,6.000000
10985,1,1,1,33,2,16.500000
10986,0,0,0,26,1,26.000000
10987,0,0,0,5,1,5.000000
10988,0,0,0,31,3,10.333333
10989,0,0,0,32,3,10.666667
10990,0,0,0,17,2,8.500000
10991,1,0,0,49,5,9.800000
10992,2,3,3,139,8,17.375000
10993,0,0,0,10,5,2.000000
10994,0,0,0,30,5,6.000000
10995,1,1,1,85,5,17.000000
10996,2,2,2,51,5,10.200000
10997,0,0,0,15,2,7.500000
10998,0,0,0,29,5,5.800000
10999,0,0,0,100,6,16.666667
11000,0,0,0,20,3,6.666667
11001,1,1,1,56,6,9.333333
11002,0,0,0,13,1,13.000000
11003,1,1,1,50,6,8.333333
11004,0,0,0,12,1,12.000000
11005,0,0,0,17,1,17.000000
11006,1,1,1,29,2,14.500000
11007,0,0,0,40,4,10.000000
11008,0,0,0,23,5,4.600000
11009,0,0,0,3,1,3.000000
11010,0,0,0,9,2,4.500000
11011,0,0,0,16,5,3.200000
11012,1,1,1,52,5,10.400000
11013,0,0,0,10,2,5.000000
11014,0,0,0,4,1,4.000000
11015,0,0,0,39,2,19.500000
11016,0,0,0,4,1,4.000000
11017,1,1,1,61,5,12.200000
11018,0,0,0,6,2,3.000000
11019,0,0,0,23,1,23.000000
11020,0,0,0,9,1,9.000000
11021,0,0,0,9,1,9.000000
11022,0,1,0,4,1,4.000000
11023,1,1,1,39,4,9.750000
11024,0,0,0,22,5,4.400000
11025,0,0,0,62,6,10.333333
11026,0,0,0,1,1,1.000000
11027,0,0,0,4,1,4.000000
11028,0,0,0,16,1,16.000000
