Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
16954,2,1,1,26,1,26.000000
16955,1,1,1,43,4,10.750000
16956,2,2,2,86,6,14.333333
16957,2,2,2,88,5,17.600000
16958,2,1,2,77,5,15.400000
16959,1,0,1,38,3,12.666667
16960,1,2,2,86,5,17.200000
16961,0,0,0,12,1,12.000000
16962,0,0,0,67,4,16.750000
16963,1,1,1,38,2,19.000000
16964,0,0,0,39,4,9.750000
16965,2,2,2,92,4,23.000000
16966,0,2,2,23,2,11.500000
16967,0,0,0,47,3,15.666667
16968,1,0,0,44,3,14.666667
16969,0,0,0,36,2,18.000000
16970,0,0,0,17,2,8.500000
16971,1,0,0,50,4,12.500000
16972,0,0,0,61,7,8.714286
16973,1,1,1,43,4,10.750000
16974,1,1,1,61,5,12.200000
16975,2,1,1,90,5,18.000000
16976,1,0,0,100,7,14.285714
16977,2,2,2,67,3,22.333333
16978,0,1,1,59,5,11.800000
16979,2,2,2,49,5,9.800000
16980,1,1,1,35,4,8.750000
16981,1,1,1,82,6,13.666667
16982,1,2,2,36,3,12.000000
16983,0,0,0,41,2,20.500000
16984,1,2,2,89,5,17.800000
16985,0,2,2,93,7,13.285714
16986,0,0,0,33,3,11.000000
16987,1,1,1,32,4,8.000000
16988,0,0,0,62,5,12.400000
16989,0,0,0,30,2,15.000000
16990,2,1,1,19,3,6.333333
16991,0,0,0,17,2,8.500000
16992,0,0,0,36,3,12.000000
16993,2,2,2,36,3,12.000000
16994,0,0,0,69,4,17.250000
16995,1,1,1,65,4,16.250000
16996,0,0,0,17,2,8.500000
16997,0,0,0,14,1,14.000000
16998,1,2,2,8,1,8.000000
16999,1,1,1,36,2,18.000000
17000,0,0,0,12,2,6.000000
17001,0,0,0,10,1,10.000000
17002,1,1,1,39,3,13.000000
17003,1,0,0,64,4,16.000000
17004,0,0,0,31,2,15.500000
17005,0,0,0,21,2,10.500000
17006,0,0,0,3,1,3.000000
17007,0,0,0,30,3,10.000000
17008,0,0,0,4,1,4.000000
17009,0,0,0,66,4,16.500000
17010,1,1,1,72,4,18.000000
17011,1,1,1,45,3,15.000000
17012,0,0,0,68,3,22.666667
17013,0,0,0,11,2,5.500000
17014,2,0,0,51,4,12.750000
17015,0,1,1,50,3,16.666667
17016,2,2,2,122,8,15.250000
17017,1,0,0,56,5,11.200000
17018,0,2,2,50,3,16.666667
17019,0,2,2,20,2,10.000000
17020,1,1,1,69,5,13.800000
17021,0,0,0,29,5,5.800000
17022,0,0,0,24,2,12.000000
17023,1,1,1,29,2,14.500000
17024,1,0,0,1,1,1.000000
17025,0,0,0,18,3,6.000000
17026,2,2,2,32,3,10.666667
17027,1,1,2,28,2,14.000000
17028,2,2,2,48,2,24.000000
17029,0,2,2,101,6,16.833333
17030,1,1,1,27,2,13.500000
17031,0,0,0,39,2,19.500000
17032,1,0,0,22,1,22.000000
17033,2,2,2,49,4,12.250000
17034,2,2,2,14,3,4.666667
17035,0,0,0,26,2,13.000000
17036,0,0,0,35,2,17.500000
17037,1,0,0,42,3,14.000000
17038,0,0,0,40,3,13.333333
17039,0,0,0,31,2,15.500000
17040,0,0,0,29,3,9.666667
17041,0,0,0,18,2,9.000000
17042,1,1,1,85,7,12.142857
17043,0,0,0,32,3,10.666667
17044,0,2,2,45,4,11.250000
17045,0,0,0,28,4,7.000000
17046,0,0,0,27,3,9.000000
17047,0,0,0,50,4,12.500000
17048,2,2,2,122,7,17.428571
17049,0,0,0,54,3,18.000000
17050,1,1,1,60,4,15.000000
17051,1,1,1,88,6,14.666667
17052,0,2,2,20,1,20.000000
17053,1,0,0,69,5,13.800000
17054,0,0,0,10,2,5.000000
17055,2,2,2,31,3,10.333333
17056,0,0,0,19,3,6.333333
17057,0,0,0,21,3,7.000000
17058,1,0,0,12,2,6.000000
17059,1,2,2,25,3,8.333333
17060,1,1,1,6,1,6.000000
17061,0,0,0,41,4,10.250000
17062,1,2,2,22,2,11.000000
17063,0,0,0,22,3,7.333333
17064,0,0,0,18,2,9.000000
17065,1,2,2,49,4,12.250000
17066,0,0,0,28,3,9.333333
17067,2,2,2,23,2,11.500000
17068,0,0,0,51,2,25.500000
17069,0,0,0,24,2,12.000000
17070,2,1,2,60,5,12.000000
17071,0,0,0,36,3,12.000000
17072,0,0,0,43,4,10.750000
17073,2,2,2,36,3,12.000000
17074,0,0,0,23,3,7.666667
17075,0,0,0,25,2,12.500000
17076,0,0,0,75,3,25.000000
17077,0,1,0,38,4,9.500000
17078,0,0,0,24,2,12.000000
17079,0,0,0,40,3,13.333333
17080,1,1,1,25,3,8.333333
17081,0,0,0,19,4,4.750000
17082,1,1,1,24,2,12.000000
17083,0,0,0,45,3,15.000000
17084,1,1,1,1,1,1.000000
17085,0,1,1,22,2,11.000000
17086,2,2,2,31,3,10.333333
17087,2,0,0,37,3,12.333333
17088,1,1,1,45,3,15.000000
17089,1,1,1,57,4,14.250000
17090,0,0,0,56,4,14.000000
17091,1,2,2,87,7,12.428571
17092,0,0,0,25,3,8.333333
17093,1,0,0,54,4,13.500000
17094,0,0,0,33,2,16.500000
17095,1,1,1,51,3,17.000000
17096,0,1,1,23,2,11.500000
17097,1,1,1,52,5,10.400000
17098,0,2,2,43,3,14.333333
17099,0,0,0,24,2,12.000000
17100,1,0,0,36,4,9.000000
17101,2,2,2,27,3,9.000000
17102,0,2,2,124,10,12.400000
17103,0,0,0,27,2,13.500000
17104,1,0,0,42,3,14.000000
17105,1,1,1,75,4,18.750000
17106,0,2,2,27,4,6.750000
17107,0,0,0,86,4,21.500000
17108,1,1,1,8,2,4.000000
17109,0,0,0,100,6,16.666667
17110,0,0,0,12,1,12.000000
17111,0,0,0,19,1,19.000000
17112,0,0,0,37,2,18.500000
17113,0,0,0,52,3,17.333333
17114,0,0,0,25,3,8.333333
17115,2,0,0,20,3,6.666667
17116,2,2,2,65,4,16.250000
17117,2,2,2,24,3,8.000000
17118,0,1,1,26,3,8.666667
17119,1,0,0,77,4,19.250000
17120,0,0,0,89,4,22.250000
17121,0,0,0,46,4,11.500000
17122,1,1,1,77,4,19.250000
17123,2,1,1,55,4,13.750000
17124,2,2,2,109,5,21.800000
17125,1,2,2,33,3,11.000000
17126,2,1,1,71,4,17.750000
17127,0,0,0,26,3,8.666667
17128,0,1,1,25,3,8.333333
17129,0,0,0,30,3,10.000000
17130,1,1,1,17,2,8.500000
17131,0,1,1,17,2,8.500000
17132,2,2,2,48,4,12.000000
17133,1,1,1,49,3,16.333333
17134,1,1,1,42,4,10.500000
17135,2,2,2,29,6,4.833333
17136,2,2,2,18,3,6.000000
