Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
2788,1,1,1,60,5,12.000000
2789,3,3,3,62,4,15.500000
2790,1,1,1,25,2,12.500000
2791,2,1,1,63,4,15.750000
2792,3,3,3,80,8,10.000000
2793,2,2,3,49,3,16.333333
2794,1,1,1,66,4,16.500000
2795,2,2,1,86,6,14.333333
2796,2,2,2,64,5,12.800000
2797,3,3,3,79,5,15.800000
2798,1,3,3,53,5,10.600000
2799,2,1,2,64,3,21.333333
2800,4,3,2,50,4,12.500000
2801,3,3,3,84,5,16.800000
2802,2,1,2,69,4,17.250000
2803,4,3,3,97,5,19.400000
2804,3,2,2,68,4,17.000000
2805,0,0,0,39,5,7.800000
2806,2,1,1,56,4,14.000000
2807,3,3,3,92,5,18.400000
2808,1,1,1,90,9,10.000000
2809,0,0,0,47,3,15.666667
2810,2,1,2,75,5,15.000000
2811,3,3,3,47,4,11.750000
2812,1,1,1,52,3,17.333333
2813,1,1,0,53,4,13.250000
2814,3,3,3,70,5,14.000000
2815,2,2,2,100,6,16.666667
2816,1,1,1,47,3,15.666667
2817,3,3,3,69,7,9.857143
2818,1,1,1,70,4,17.500000
2819,2,2,2,58,6,9.666667
2820,2,3,3,42,3,14.000000
2821,3,3,3,79,5,15.800000
2822,2,2,2,71,4,17.750000
2823,2,2,2,56,4,14.000000
2824,0,0,0,25,3,8.333333
2825,2,2,3,58,5,11.600000
2826,0,0,0,25,2,12.500000
2827,2,2,2,60,4,15.000000
2828,0,0,0,63,3,21.000000
2829,3,2,2,75,4,18.750000
2830,1,1,1,103,5,20.600000
2831,0,1,1,92,5,18.400000
2832,2,1,0,66,4,16.500000
2833,2,2,2,69,4,17.250000
2834,0,0,0,85,6,14.166667
2835,1,1,1,62,3,20.666667
2836,2,2,1,44,4,11.000000
2837,2,1,2,86,7,12.285714
2838,3,2,2,61,7,8.714286
2839,1,1,1,65,4,16.250000
2840,2,2,2,76,7,10.857143
2841,2,2,2,58,3,19.333333
2842,1,1,1,80,4,20.000000
2843,0,0,0,57,3,19.000000
2844,1,1,1,67,8,8.375000
2845,2,1,1,22,3,7.333333
2846,2,2,2,65,7,9.285714
2847,1,1,1,92,4,23.000000
2848,2,2,2,82,6,13.666667
2849,3,3,3,87,8,10.875000
2850,0,0,0,46,3,15.333333
2851,1,1,1,55,4,13.750000
2852,3,3,3,93,5,18.600000
2853,3,3,3,56,4,14.000000
2854,3,2,3,56,6,9.333333
2855,0,0,0,30,2,15.000000
2856,2,2,2,81,5,16.200000
2857,3,3,3,69,4,17.250000
2858,2,2,2,53,4,13.250000
2859,3,3,3,90,7,12.857143
2860,2,2,2,69,5,13.800000
2861,2,2,2,70,4,17.500000
2862,1,2,2,63,4,15.750000
2863,2,2,2,44,3,14.666667
2864,1,1,1,36,3,12.000000
2865,0,1,1,36,5,7.200000
2866,2,2,2,30,2,15.000000
2867,2,1,1,69,4,17.250000
2868,2,2,2,75,5,15.000000
2869,0,0,0,24,2,12.000000
2870,1,1,1,33,4,8.250000
2871,2,1,2,53,5,10.600000
2872,2,1,0,52,3,17.333333
2873,2,2,2,93,5,18.600000
2874,3,3,3,102,8,12.750000
2875,1,1,1,45,3,15.000000
2876,1,1,1,68,7,9.714286
2877,1,1,1,71,4,17.750000
2878,2,2,2,73,7,10.428571
2879,3,2,2,59,4,14.750000
2880,1,1,1,79,7,11.285714
2881,3,3,3,25,3,8.333333
2882,2,2,2,73,4,18.250000
2883,2,2,2,39,4,9.750000
2884,2,2,2,34,3,11.333333
2885,3,3,3,76,7,10.857143
2886,0,1,1,53,5,10.600000
2887,3,1,1,32,3,10.666667
2888,1,2,2,36,3,12.000000
2889,3,3,3,49,3,16.333333
2890,2,2,2,116,6,19.333333
2891,3,2,2,40,6,6.666667
2892,1,1,1,54,3,18.000000
2893,0,0,0,17,2,8.500000
2894,3,2,2,76,5,15.200000
2895,2,1,1,49,4,12.250000
2896,3,3,3,56,5,11.200000
2897,2,2,2,46,3,15.333333
2898,1,2,1,52,3,17.333333
2899,1,1,1,41,3,13.666667
2900,1,1,1,61,4,15.250000
2901,3,2,2,82,5,16.400000
2902,2,2,2,60,6,10.000000
2903,2,2,2,62,4,15.500000
2904,3,2,3,100,6,16.666667
