Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
22952,0,1,0,37,3,12.333333
22953,0,0,0,15,2,7.500000
22954,1,0,0,46,4,11.500000
22955,1,2,2,42,4,10.500000
22956,1,1,1,15,2,7.500000
22957,1,2,2,30,3,10.000000
22958,1,1,1,38,3,12.666667
22959,1,2,1,53,4,13.250000
22960,0,0,0,42,3,14.000000
22961,2,2,2,113,7,16.142857
22962,2,2,2,65,6,10.833333
22963,1,1,1,58,5,11.600000
22964,0,1,1,57,4,14.250000
22965,0,0,0,9,2,4.500000
22966,1,1,0,34,4,8.500000
22967,2,2,2,35,3,11.666667
22968,1,2,2,70,4,17.500000
22969,1,2,2,150,8,18.750000
22970,2,2,2,87,7,12.428571
22971,0,2,1,46,3,15.333333
22972,2,2,2,100,6,16.666667
22973,0,0,0,20,2,10.000000
22974,1,2,2,60,5,12.000000
22975,1,1,1,35,3,11.666667
22976,0,1,1,40,3,13.333333
22977,0,1,1,33,3,11.000000
22978,1,1,0,40,3,13.333333
22979,1,1,1,32,3,10.666667
22980,2,2,2,107,7,15.285714
22981,2,2,2,79,4,19.750000
22982,1,1,1,16,2,8.000000
22983,2,1,1,95,8,11.875000
22984,0,1,1,22,3,7.333333
22985,2,2,2,149,7,21.285714
22986,2,2,2,66,4,16.500000
22987,2,2,2,94,6,15.666667
22988,0,1,1,22,2,11.000000
22989,2,2,1,85,5,17.000000
22990,2,2,2,143,7,20.428571
22991,0,0,0,13,2,6.500000
22992,1,1,1,81,7,11.571429
22993,0,1,2,80,6,13.333333
22994,0,1,0,62,4,15.500000
22995,2,1,1,51,4,12.750000
22996,1,1,1,23,2,11.500000
22997,0,0,0,24,3,8.000000
22998,0,2,2,32,3,10.666667
22999,2,2,2,140,7,20.000000
23000,2,2,2,74,5,14.800000
23001,1,1,1,98,4,24.500000
23002,2,2,1,113,7,16.142857
23003,0,0,1,28,3,9.333333
23004,0,0,0,10,2,5.000000
23005,1,2,2,72,6,12.000000
23006,1,1,1,27,3,9.000000
23007,1,1,1,38,2,19.000000
23008,2,1,1,42,4,10.500000
23009,0,0,0,13,1,13.000000
23010,0,1,1,53,3,17.666667
23011,0,0,1,12,2,6.000000
23012,0,1,1,18,3,6.000000
23013,2,2,2,66,5,13.200000
23014,1,1,1,14,2,7.000000
23015,0,0,0,65,4,16.250000
23016,1,2,2,31,4,7.750000
23017,0,1,1,47,4,11.750000
23018,2,2,2,182,9,20.222222
23019,0,0,0,7,2,3.500000
23020,2,2,2,91,6,15.166667
23021,0,1,1,23,3,7.666667
23022,1,0,1,67,4,16.750000
23023,1,1,1,81,4,20.250000
23024,0,1,1,33,2,16.500000
23025,0,1,1,18,2,9.000000
23026,2,2,1,85,5,17.000000
23027,0,1,1,32,2,16.000000
23028,1,1,2,91,9,10.111111
23029,1,2,2,118,8,14.750000
23030,0,0,0,57,4,14.250000
23031,0,0,0,43,5,8.600000
23032,1,1,2,45,5,9.000000
23033,0,1,1,50,4,12.500000
23034,0,1,1,42,4,10.500000
23035,0,1,1,61,3,20.333333
23036,0,1,1,15,2,7.500000
23037,0,2,2,65,5,13.000000
23038,2,2,2,71,3,23.666667
23039,1,2,1,58,4,14.500000
23040,2,2,2,28,2,14.000000
23041,0,0,0,7,1,7.000000
23042,2,2,2,96,6,16.000000
23043,0,2,1,39,3,13.000000
23044,1,2,2,82,6,13.666667
23045,1,1,1,69,4,17.250000
23046,1,1,1,44,3,14.666667
23047,0,1,1,36,4,9.000000
23048,0,0,0,37,3,12.333333
23049,0,0,0,74,4,18.500000
23050,1,1,1,19,2,9.500000
23051,1,2,2,73,4,18.250000
23052,1,1,2,56,5,11.200000
23053,0,2,2,72,6,12.000000
23054,1,1,1,14,2,7.000000
23055,1,1,1,72,6,12.000000
23056,1,1,1,39,4,9.750000
23057,1,2,2,66,6,11.000000
23058,0,1,1,16,2,8.000000
23059,1,1,1,82,4,20.500000
23060,2,2,2,109,6,18.166667
23061,0,2,2,52,4,13.000000
23062,0,1,1,61,5,12.200000
23063,1,1,1,31,2,15.500000
23064,2,2,2,67,5,13.400000
23065,2,2,2,93,6,15.500000
23066,1,1,0,26,2,13.000000
23067,0,0,0,10,2,5.000000
23068,0,1,1,93,8,11.625000
23069,0,0,1,70,4,17.500000
23070,0,2,2,79,7,11.285714
23071,0,0,0,10,2,5.000000
23072,0,1,1,26,3,8.666667
23073,0,2,2,86,2,43.000000
23074,1,2,2,88,6,14.666667
23075,0,0,1,49,3,16.333333
23076,1,1,1,68,5,13.600000
23077,0,2,1,87,5,17.400000
23078,0,0,1,15,2,7.500000
23079,0,0,0,25,1,25.000000
23080,1,1,1,26,3,8.666667
