Id,f,f2,f3,n_words,n_sentences,sentenc_ave_size
25949,2,2,2,28,3,9.333333
25950,1,1,1,12,2,6.000000
25951,2,2,2,51,2,25.500000
25952,2,1,1,33,3,11.000000
25953,2,2,2,51,3,17.000000
25954,0,0,1,10,1,10.000000
25955,1,1,0,28,1,28.000000
25956,1,1,1,16,1,16.000000
25957,1,1,1,50,3,16.666667
25958,2,2,2,53,3,17.666667
25959,2,2,2,80,6,13.333333
25960,1,0,0,23,2,11.500000
25961,1,1,1,18,2,9.000000
25962,0,1,1,18,1,18.000000
25963,1,1,0,28,3,9.333333
25964,1,0,1,32,2,16.000000
25965,1,0,1,56,3,18.666667
25966,1,1,1,10,1,10.000000
25967,1,1,0,41,2,20.500000
25968,2,2,2,55,4,13.750000
25969,0,1,1,22,2,11.000000
25970,0,0,0,24,3,8.000000
25971,2,2,2,74,6,12.333333
25972,1,1,1,35,1,35.000000
25973,2,2,2,56,2,28.000000
25974,1,1,1,54,2,27.000000
25975,1,1,2,59,5,11.800000
25976,1,2,2,21,1,21.000000
25977,2,2,2,64,4,16.000000
25978,0,0,0,7,1,7.000000
25979,2,1,1,63,5,12.600000
25980,2,1,0,27,2,13.500000
25981,0,0,0,20,2,10.000000
25982,1,1,1,7,1,7.000000
25983,0,0,0,5,1,5.000000
25984,1,1,1,26,3,8.666667
25985,1,1,1,16,2,8.000000
25986,1,1,1,67,4,16.750000
25987,1,1,1,20,1,20.000000
25988,1,1,1,22,1,22.000000
25989,2,2,2,48,3,16.000000
25990,0,0,0,15,2,7.500000
25991,2,2,2,98,6,16.333333
25992,2,2,2,24,2,12.000000
25993,1,2,2,26,2,13.000000
25994,1,1,1,31,3,10.333333
25995,2,2,2,38,2,19.000000
25996,1,1,1,29,2,14.500000
25997,1,1,1,20,2,10.000000
25998,2,2,2,87,5,17.400000
25999,2,2,2,55,5,11.000000
26000,2,2,2,64,6,10.666667
26001,2,1,1,78,2,39.000000
26002,2,2,2,62,3,20.666667
26003,1,1,1,18,2,9.000000
26004,2,2,2,64,4,16.000000
26005,1,1,1,28,2,14.000000
26006,1,1,1,27,3,9.000000
26007,1,2,1,71,4,17.750000
26008,1,1,1,21,1,21.000000
26009,1,1,0,21,2,10.500000
26010,1,1,1,61,3,20.333333
26011,0,0,0,17,2,8.500000
26012,2,2,1,77,4,19.250000
26013,2,2,2,60,5,12.000000
26014,1,1,1,33,3,11.000000
26015,0,0,0,17,1,17.000000
26016,1,1,1,12,1,12.000000
26017,2,2,2,30,1,30.000000
26018,1,1,1,41,2,20.500000
26019,2,2,2,36,2,18.000000
26020,0,1,1,12,2,6.000000
26021,1,2,2,33,3,11.000000
26022,1,1,1,17,2,8.500000
26023,2,2,2,93,6,15.500000
26024,2,2,2,40,3,13.333333
26025,2,2,2,66,3,22.000000
26026,2,2,2,48,3,16.000000
26027,1,2,2,23,3,7.666667
26028,1,1,1,23,2,11.500000
26029,2,2,1,118,6,19.666667
26030,1,1,1,10,2,5.000000
26031,1,1,1,24,2,12.000000
26032,1,1,1,47,3,15.666667
26033,2,2,2,32,2,16.000000
26034,1,1,1,29,2,14.500000
26035,1,1,1,37,2,18.500000
26036,1,1,1,34,3,11.333333
26037,1,1,1,7,2,3.500000
26038,2,2,2,38,2,19.000000
26039,1,1,1,19,2,9.500000
26040,2,1,1,82,5,16.400000
26041,2,2,2,65,7,9.285714
26042,2,1,1,38,2,19.000000
26043,0,0,0,18,1,18.000000
26044,0,0,0,32,2,16.000000
26045,0,0,0,6,1,6.000000
26046,1,1,1,22,1,22.000000
26047,0,0,0,25,1,25.000000
26048,2,2,2,34,2,17.000000
26049,2,2,2,121,5,24.200000
26050,2,2,2,74,5,14.800000
26051,1,2,2,84,1,84.000000
26052,1,1,2,24,2,12.000000
26053,2,2,2,21,1,21.000000
26054,2,2,2,24,3,8.000000
26055,2,1,1,42,4,10.500000
26056,1,1,1,32,2,16.000000
26057,2,2,2,135,5,27.000000
26058,2,2,2,77,5,15.400000
26059,0,0,0,9,1,9.000000
26060,2,1,1,65,3,21.666667
26061,1,1,1,25,2,12.500000
26062,2,2,2,66,3,22.000000
26063,0,0,0,25,2,12.500000
26064,2,2,2,76,4,19.000000
26065,1,1,1,32,2,16.000000
26066,1,1,1,20,2,10.000000
26067,1,2,2,38,3,12.666667
26068,1,1,1,14,1,14.000000
26069,1,1,1,15,2,7.500000
26070,2,1,1,25,2,12.500000
26071,1,1,1,37,3,12.333333
26072,2,2,2,181,5,36.200000
26073,2,2,2,93,4,23.250000
26074,2,2,2,29,2,14.500000
26075,2,1,2,70,8,8.750000
26076,2,2,2,143,2,71.500000
26077,1,1,1,8,1,8.000000
26078,2,2,1,104,4,26.000000
26079,1,1,1,26,3,8.666667
26080,1,1,1,32,2,16.000000
26081,2,2,2,83,2,41.500000
26082,1,1,0,34,3,11.333333
26083,0,0,0,16,2,8.000000
26084,2,1,1,62,3,20.666667
26085,1,1,1,11,1,11.000000
26086,1,1,1,20,2,10.000000
26087,2,2,2,80,4,20.000000
26088,1,1,0,80,7,11.428571
26089,1,2,2,65,4,16.250000
26090,1,0,0,10,2,5.000000
26091,0,0,0,9,2,4.500000
26092,2,1,1,29,1,29.000000
26093,1,1,1,33,2,16.500000
26094,1,1,0,16,1,16.000000
