Id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
22952,0,0,0,0,0,0,0,0,0,0,0,0
22953,0,0,0,0,0,0,0,0,0,0,0,0
22954,0,0,0,0,0,1,0,0,0,0,0,1
22955,1,0,0,0,0,0,0,0,0,0,0,1
22956,0,0,1,0,0,0,0,0,0,0,0,1
22957,0,0,0,1,0,0,0,0,0,0,0,1
22958,0,0,1,0,0,0,0,0,0,0,0,1
22959,0,0,0,1,0,0,0,0,0,0,0,1
22960,0,0,0,0,0,0,0,0,0,0,0,0
22961,0,0,1,1,0,1,1,0,0,0,0,4
22962,0,0,0,1,0,1,1,0,0,0,0,3
22963,0,0,0,0,0,0,0,0,1,0,0,1
22964,0,0,0,0,0,0,0,0,0,0,0,0
22965,0,0,0,0,0,0,0,0,0,0,0,0
22966,0,0,0,1,0,0,0,0,0,0,0,1
22967,0,0,1,1,0,0,0,0,0,0,0,2
22968,0,0,1,0,0,0,0,0,0,0,0,1
22969,0,0,1,0,0,0,0,0,0,0,0,1
22970,0,0,0,1,0,1,1,0,0,0,0,3
22971,0,0,0,0,0,0,0,0,0,0,0,0
22972,0,0,0,1,0,1,1,0,0,0,0,3
22973,0,0,0,0,0,0,0,0,0,0,0,0
22974,0,0,0,1,0,0,0,0,0,0,0,1
22975,0,0,1,0,0,0,0,0,0,0,0,1
22976,0,0,0,0,0,0,0,0,0,0,0,0
22977,0,0,0,0,0,0,0,0,0,0,0,0
22978,0,0,0,0,0,0,1,0,0,0,0,1
22979,0,0,0,1,0,0,0,0,0,0,0,1
22980,0,0,1,1,0,1,1,0,1,0,0,5
22981,0,0,0,0,0,1,1,0,0,0,0,2
22982,0,0,1,0,0,0,0,0,0,0,0,1
22983,0,0,0,0,0,1,0,0,1,0,0,2
22984,0,0,0,0,0,0,0,0,0,0,0,0
22985,0,0,0,1,0,0,1,0,1,0,0,3
22986,0,0,1,1,0,1,0,0,0,0,0,3
22987,0,0,1,1,0,0,0,0,0,0,0,2
22988,0,0,0,0,0,0,0,0,0,0,0,0
22989,0,0,0,1,0,1,1,0,0,0,0,3
22990,0,0,1,1,0,1,1,0,0,0,0,4
22991,0,0,0,0,0,0,0,0,0,0,0,0
22992,0,0,1,0,0,0,0,0,0,0,0,1
22993,0,0,0,0,0,0,0,0,0,0,0,0
22994,0,0,0,0,0,0,0,0,0,0,0,0
22995,0,0,0,1,0,0,0,0,1,0,0,2
22996,0,0,0,1,0,0,0,0,0,0,0,1
22997,0,0,0,0,0,0,0,0,0,0,0,0
22998,0,0,0,0,0,0,0,0,0,0,0,0
22999,1,0,1,1,0,1,1,0,0,0,0,5
23000,1,0,0,0,0,0,0,0,1,0,0,2
23001,0,0,0,0,0,1,0,0,0,0,0,1
23002,0,0,0,1,0,1,0,0,0,0,0,2
23003,0,0,0,0,0,0,0,0,0,0,0,0
23004,0,0,0,0,0,0,0,0,0,0,0,0
23005,0,0,0,1,0,0,0,0,0,0,0,1
23006,0,0,1,0,0,0,0,0,0,0,0,1
23007,0,0,1,0,0,0,0,0,0,0,0,1
23008,0,0,0,0,0,1,1,0,0,0,0,2
23009,0,0,0,0,0,0,0,0,0,0,0,0
23010,0,0,0,0,0,0,0,0,0,0,0,0
23011,0,0,0,0,0,0,0,0,0,0,0,0
23012,0,0,0,0,0,0,0,0,0,0,0,0
23013,0,0,1,1,0,0,0,0,0,0,0,2
23014,0,0,1,0,0,0,0,0,0,0,0,1
23015,0,0,0,0,0,0,0,0,0,0,0,0
23016,0,0,0,1,0,0,0,0,0,0,0,1
23017,0,0,0,0,0,0,0,0,0,0,0,0
23018,0,0,1,1,0,1,1,0,0,0,0,4
23019,0,0,0,0,0,0,0,0,0,0,0,0
23020,1,0,0,1,0,1,0,0,1,0,0,4
23021,0,0,0,0,0,0,0,0,0,0,0,0
23022,0,0,1,0,0,0,0,0,0,0,0,1
23023,0,0,0,0,0,1,0,0,0,0,0,1
23024,0,0,0,0,0,0,0,0,0,0,0,0
23025,0,0,0,0,0,0,0,0,0,0,0,0
23026,1,0,0,1,0,0,0,0,0,0,0,2
23027,0,0,0,0,0,0,0,0,0,0,0,0
23028,0,0,1,0,0,0,0,0,0,0,0,1
23029,0,0,0,1,0,0,0,0,0,0,0,1
23030,0,0,0,0,0,0,0,0,0,0,0,0
23031,0,0,0,0,0,0,0,0,0,0,0,0
23032,0,0,0,0,0,1,0,0,0,0,0,1
23033,0,0,0,0,0,0,0,0,0,0,0,0
23034,0,0,0,0,0,0,0,0,0,0,0,0
23035,0,0,0,0,0,0,0,0,0,0,0,0
23036,0,0,0,0,0,0,0,0,0,0,0,0
23037,0,0,0,0,0,0,0,0,0,0,0,0
23038,0,0,0,1,0,0,0,0,1,0,0,2
23039,0,0,0,0,0,1,0,0,0,0,0,1
23040,0,0,1,1,0,1,0,0,0,0,0,3
23041,0,0,0,0,0,0,0,0,0,0,0,0
23042,0,0,0,1,0,1,0,0,1,0,0,3
